,subject,sentence
0, קורות ,"קורות חייו צמרת למד בחוגים לחינוך ופילוסופיה באוניברסיטה העברית בירושלים
"
3, פרסומים ,"פרסומים עיקריים מקורות המחשבה הצבאית המודרנית משרד הביטחון ההוצאה לאור
"
7, מרוקו ,"מרוקו הצטרפה למשפחת האירוויזיון בפעם הראשונה וגם האחרונה בתולדותיה בתחרות
"
12, קו ,"כתוצאה ממלחמת העצמאות ובעקבות הסכמי שביתת הנשק נוצר הקו הירוק
"
13, הסבר ,"הסבר לחשיבות הקריטריון ניתן למצוא בדיון שנערך בויקיפדיה האנגלית כאן
"
14, ו ,"בגלל התערבות הגרמנים החליטו בריטניה וצרפת לשלוח כוחות לעזרת האיטלקים
"
15, פקולטה ,"הפקולטה ללימודים מתקדמים קישורים חיצוניים האתר הרשמי של אוניברסיטת ירדן
"
16, התנהגות ,"התנהגות המנהלים צריכה לשמש דוגמה לשיתוף חלוקת אינפורמציה ועזרה לאחרים
"
17, הוא  ו ,"הוא בוגר האוניברסיטה העברית בירושלים בפקולטה למשפטים ועורך דין במקצועו
"
18, עשה ,"את השכלתו האקדמית עשה באוניברסיטאות בגרמניה שם למד משפטים ופילוסופיה
"
19, השפעת ,"בגרמניה המערבית ובעיקר באזור חבל הריין ניכרת השפעת המטבח הצרפתי
"
21, שרידי ,"בשטח הבסיס נמצאים שרידי המבצר הצלבני הידוע בשם מבצר עתלית
"
24, מספר ,"דהיינו אותו מספר מצביעים כמו שהצביעו אצלנו בהצבעה האחרונה בפרלמנט
"
27, דיון  ערך  שיפורים ,"בעקבות ההמלצה מתפתח דיון ענייני שבמהלכו הערך עובר שיפורים נוספים
"
28, ערכים ,"הערכים בוויקיפדיה צריכים להיכתב בהסתמך על מקורות חיצוניים ובלתי תלויים
"
31, אביטל ,"אביטל היה ממקימי הטלוויזיה נספח תרבות בהודו ומנהל תיאטרון ירושלים
"
33, מאמץ ,"בפעם הבאה מומלץ לעשות מאמץ מינימלי למציאת תמונות חופשיות בויקישיתוף
"
34, חוקרי ,"חוקרי מדיניות ציבורית מצביעים על מספר מודלים אפשריים לקביעת אג'נדה
"
35, גאוגרפיה ,"גאוגרפיה וושינגטון שוכנת בצפון מערב ארצות הברית לחוף האוקיינוס השקט
"
37, ריצ רדסון ,"לפני שהפכה לשחקנית קולנוע ידועה הופיעה ריצ'רדסון בהצלחה רבה בתיאטרון
"
39, אנו ,"אבקשך להרחיב את הקצרמרים שכתבת לפני שאנו ממשיכים בערכים חדשים
"
40, פנטום ,"במהלך מחקר באוניברסיטת סטנפורד בארצות הברית נמצא אפקט עלה הפנטום
"
41, ו ,"חברות מסחריות רשתות תקשורת ואישים אחרים מתייחסים למשחק ברצינות רבה
"
42, קרטר ,"בבחירות הכלליות התמודד קרטר כנגד הנשיא הרפובליקני המכהן ג'רלד פורד
"
46, בריטניה ,"במהלך מלחמת העצמאות של אירלנד הפעילה בריטניה יחידות חיסול אחדות
"
47, מסחר ,"דרכי המסחר הובילו להיווצרות מדינות חזקות מבחינה צבאית לאורך הדרך
"
48, אינדקס ,"אינדקס של גורדי השחקים העיקריים בישראל ללא תוכן אנציקלופדי כלשהו
"
51, קישורים ,"קישורים חיצוניים ממצאים ארכאולוגים בישראל באתר משרד החוץ באנגלית
"
52, מדינה ,"בבחירות לנשיאות ארצות הברית נוטה המדינה להצביע עבור המפלגה הדמוקרטית
"
53, טכנולוגיה ,"הטכנולוגיה משחקי דפדפן אינם דורשים ברוב המקרים הורדת קבצים למחשב
"
55, ו ,"בראשית שנות החמישים למדה ספרות ופילוסופיה באוניברסיטה העברית בירושלים
"
56, דיסקוגרפיה  אלבום ,"דיסקוגרפיה בסוגריים המיקום אליו הגיע האלבום סינגל במצעד המכירות הבריטי
"
57, קיסר ,"הקיסר יוסטיניאנוס הראשון מנסה לכבוש חלקים מן האימפריה המערבית לשעבר
"
58, קטגוריית  המצאות ,"קטגוריית האם הרוחנית המצאות נמחקה לאחר קבלת החלטה בדיון מחיקה
"
59, קישורים ,"קישורים חיצוניים הפרס לביקורת התקשורת באתר האגודה לזכות הציבור לדעת
"
60, חסידות ,"החסידות הייתה מבחינה מסוימת תופעה מקבילה לתנועת ההשכלה ביהדות גרמניה
"
61, ויקיפדיה  אנציקלופדיה ,"ויקיפדיה בהיותה אנציקלופדיה יכולה לפרסם רק דברים מקובלים במחקר הקיים
"
62, היסטוריונים ,"ההיסטוריונים חלוקים בשאלה לגבי הכוח המניע מאחורי הפעלת שיטת השיירות
"
63, חלקן ,"הוקמו כנסיות שחורות עצמאיות רבות וחלקן הצטרפו למועצת הכנסיות העולמית
"
64, טיל ,"הטיל יוצא בצורה נרחבת ועדיין בשירות בחלק מחברות חבר המדינות
"
65, מחשבים ,"מחשבים צבאיים יוצרו ועדיין מיוצרים בישראל על ידי חברות שונות
"
67, הקמת ,"לאחר הקמת היחידה הוחל בגיוס חיילים בהתנדבות דרך גיבוש צנחנים
"
68, יוצאי ,"בראשית הקריירה המקצועית ג'קסון נודע בסרטי האימה יוצאי הדופן שיצר
"
69, לוח ,"בבסיס המצבה הוצב לוח זיכרון לזכר החללים הטורקים שנפלו במערכה
"
72, ערכים ,"ערכים מעניינים שכתבתי לאחרונה הם ולדימיר פוטין ומלחמת צ'צ'ניה השנייה
"
