,subject,sentence
24,I ,I ran.
25,I ,I ran.
26,I ,I try.
27,I ,I won!
38,He ,He ran.
41,I ,I fell.
42,I ,I know.
43,I ,I left.
44,I ,I lied.
45,I ,I lost.
46,I ,I quit.
47,I ,I quit.
48,I ,I work.
49,I ,I'm 19.
50,I ,I'm up.
69,We ,We try.
70,We ,We won.
121,He ,He came.
122,He ,He quit.
134,I ,I agree.
135,I ,I agree.
136,I ,I bowed.
137,I ,I moved.
138,I ,I moved.
139,I ,I moved.
140,I ,I moved.
141,I ,I slept.
142,I ,I tried.
143,I ,I'll go.
144,I ,I'm Tom.
145,I ,I'm fat.
146,I ,I'm fat.
147,I ,I'm fit.
149,I ,I'm old.
150,I ,I'm shy.
151,I ,I'm wet.
152,It ,It's OK.
153,It ,It's me!
154,It ,It's me.
174,Tom ,Tom ate.
175,Tom ,Tom ran.
176,Tom ,Tom won.
183,We ,We care.
184,We ,We know.
185,We ,We lost.
188,Who ,Who ate?
189,Who ,Who ran?
190,Who ,Who ran?
191,Who ,Who won?
192,Who ,Who won?
194,You ,You run.
195,You ,You won.
196,I ,Am I fat?
253,He ,He spoke.
254,He ,He tries.
255,He ,He tries.
271,I ,I agreed.
272,I ,I agreed.
273,I ,I agreed.
274,I ,I am fat.
275,I ,I am old.
276,I ,I ate it.
277,I ,I ate it.
278,I ,I can go.
279,I ,I did OK.
280,I ,I did it.
281,I ,I failed.
282,I ,I forgot.
283,I ,I get by.
284,I ,I get it.
285,I ,I got it.
286,I ,I phoned.
287,I ,I refuse.
288,I ,I resign.
289,I ,I resign.
290,I ,I saw it.
291,I ,I smiled.
292,I ,I stayed.
293,I ,I talked.
294,I ,I talked.
295,I ,I talked.
296,I ,I talked.
297,I ,I use it.
298,I ,I waited.
299,I ,I'll pay.
300,I ,I'm back.
301,I ,I'm back.
302,I ,I'm bald.
303,I ,I'm bald.
304,I ,I'm calm.
305,I ,I'm cool.
307,I ,I'm easy.
308,I ,I'm fair.
309,I ,I'm fine.
310,I ,I'm free!
311,I ,I'm free.
312,I ,I'm full.
313,I ,I'm full.
314,I ,I'm full.
315,I ,I'm here.
316,I ,I'm home.
318,I ,I'm late.
319,I ,I'm lazy.
321,I ,I'm mean.
322,I ,I'm next.
323,I ,I'm okay.
324,I ,I'm poor.
325,I ,I'm rich.
326,I ,I'm rich.
327,I ,I'm safe.
328,I ,I'm sick.
329,I ,I'm thin.
330,I ,I'm tidy.
331,I ,I'm warm.
332,I ,I'm weak.
333,I ,I'm wise.
334,I ,I've won.
335,It ,It helps.
336,It ,It hurts.
337,It ,It works.
338,It ,It's Tom.
339,It ,It's fun.
340,It ,It's his.
341,It ,It's new.
342,It ,It's odd.
343,It ,It's old.
344,It ,It's red.
345,It ,It's sad.
354,'s ,Let's go!
355,'s ,Let's go!
358,I ,May I go?
360,She ,She came.
361,She ,She died.
362,She ,She runs.
379,They ,They won.
380,Tom ,Tom came.
381,Tom ,Tom died.
382,Tom ,Tom fell.
383,Tom ,Tom knew.
384,Tom ,Tom knew.
385,Tom ,Tom left.
386,Tom ,Tom lied.
387,Tom ,Tom lies.
388,Tom ,Tom lost.
389,Tom ,Tom paid.
390,Tom ,Tom quit.
392,Tom ,Tom wept.
413,We ,We agree.
414,We ,We tried.
415,We ,We'll go.
416,We ,We're OK.
419,I ,Who am I?
420,Who ,Who came?
421,Who ,Who died?
422,Who ,Who fell?
423,Who ,Who fell?
424,Who ,Who quit?
425,Who ,Who quit?
426,Who ,Who swam?
427,he ,Who's he?
438,Birds ,Birds fly.
445,we ,Can we go?
446,we ,Can we go?
447,we ,Can we go?
501,He ,He is old.
502,He ,He is old.
503,He ,He shaved.
504,He ,He smiled.
505,He ,He's a DJ.
506,He ,He's fast.
507,He ,He's good.
508,He ,He's rich.
509,He ,He's rich.
510,I ,Here I am.
514,Tom ,How's Tom?
516,I ,I am busy.
517,I ,I am full.
518,I ,I am full.
519,I ,I am good.
520,I ,I am here.
521,I ,I am sick.
522,I ,I am weak.
523,I ,I beg you.
